location,model,horizon,target_date,metric,value
US,ExponentialSmoothing,0,2024-11-23,dev,484806.4311049895
US,ExponentialSmoothing,0,2024-11-23,wis,436.05937245761487
US,ExponentialSmoothing,0,2024-11-30,dev,458802.38120433537
US,ExponentialSmoothing,0,2024-11-30,wis,427.74147152655934
US,ExponentialSmoothing,0,2024-12-07,dev,207474.31529618488
US,ExponentialSmoothing,0,2024-12-07,wis,350.7580614398931
US,ExponentialSmoothing,0,2024-12-14,dev,285051.0313304124
US,ExponentialSmoothing,0,2024-12-14,wis,373.82959197182004
US,ExponentialSmoothing,0,2024-12-21,dev,33037422.463430934
US,ExponentialSmoothing,0,2024-12-21,wis,4994.122244009524
US,ExponentialSmoothing,0,2024-12-28,dev,253381709.16745088
US,ExponentialSmoothing,0,2024-12-28,wis,15604.192931058778
US,ExponentialSmoothing,0,2025-01-04,dev,204331351.42953193
US,ExponentialSmoothing,0,2025-01-04,wis,13759.300618821206
US,ExponentialSmoothing,0,2025-01-11,dev,29357714.0519103
US,ExponentialSmoothing,0,2025-01-11,wis,4566.67706681764
US,ExponentialSmoothing,0,2025-01-18,dev,10287315.233542437
US,ExponentialSmoothing,0,2025-01-18,wis,2221.280109868035
US,ExponentialSmoothing,0,2025-02-01,dev,226440526.03686985
US,ExponentialSmoothing,0,2025-02-01,wis,12856.810727557517
US,ExponentialSmoothing,0,2025-02-08,dev,81948983.5728734
US,ExponentialSmoothing,0,2025-02-08,wis,7034.963371150086
US,ExponentialSmoothing,0,2025-02-15,dev,7973.743964785894
US,ExponentialSmoothing,0,2025-02-15,wis,538.8868427653218
US,ExponentialSmoothing,0,2025-02-22,dev,2696547.2561116554
US,ExponentialSmoothing,0,2025-02-22,wis,979.2739190814465
US,ExponentialSmoothing,0,2025-03-01,dev,12050137.457425114
US,ExponentialSmoothing,0,2025-03-01,wis,2137.220063532847
US,ExponentialSmoothing,0,2025-03-08,dev,8487195.567524534
US,ExponentialSmoothing,0,2025-03-08,wis,1732.4070422160867
US,ExponentialSmoothing,0,2025-03-15,dev,6835657.8491976
US,ExponentialSmoothing,0,2025-03-15,wis,1548.3378406831116
US,ExponentialSmoothing,0,2025-03-22,dev,2162789.577784554
US,ExponentialSmoothing,0,2025-03-22,wis,867.9113673529622
US,ExponentialSmoothing,0,2025-03-29,dev,702620.5915261671
US,ExponentialSmoothing,0,2025-03-29,wis,597.7092651190816
US,ExponentialSmoothing,0,2025-04-05,dev,1028637.4439637881
US,ExponentialSmoothing,0,2025-04-05,wis,646.851146480563
US,ExponentialSmoothing,0,2025-04-12,dev,153159.60829636277
US,ExponentialSmoothing,0,2025-04-12,wis,466.7043118753214
US,ExponentialSmoothing,0,2025-04-19,dev,65330.619241406515
US,ExponentialSmoothing,0,2025-04-19,wis,428.2441194809495
US,ExponentialSmoothing,0,2025-04-26,dev,46353.74092566956
US,ExponentialSmoothing,0,2025-04-26,wis,416.08714678831166
US,ExponentialSmoothing,0,2025-05-03,dev,72084.09653865364
US,ExponentialSmoothing,0,2025-05-03,wis,422.8189778995424
US,ExponentialSmoothing,0,2025-05-17,dev,516.518713049424
US,ExponentialSmoothing,0,2025-05-17,wis,382.72265679232265
US,ExponentialSmoothing,0,2025-05-24,dev,250872.176792857
US,ExponentialSmoothing,0,2025-05-24,wis,418.60001262943007
US,ExponentialSmoothing,1,2024-11-30,dev,1412246.811554387
US,ExponentialSmoothing,1,2024-11-30,wis,680.7238399148699
US,ExponentialSmoothing,1,2024-12-07,dev,283257.69657721353
US,ExponentialSmoothing,1,2024-12-07,wis,459.7643938547946
US,ExponentialSmoothing,1,2024-12-14,dev,247953.15474730302
US,ExponentialSmoothing,1,2024-12-14,wis,460.84456419930905
US,ExponentialSmoothing,1,2024-12-21,dev,33548391.709120486
US,ExponentialSmoothing,1,2024-12-21,wis,4710.052292939498
US,ExponentialSmoothing,1,2024-12-28,dev,347184120.1817919
US,ExponentialSmoothing,1,2024-12-28,wis,18110.097438821023
US,ExponentialSmoothing,1,2025-01-04,dev,781481021.5126219
US,ExponentialSmoothing,1,2025-01-04,wis,27834.510889475863
US,ExponentialSmoothing,1,2025-01-11,dev,42209326.020174205
US,ExponentialSmoothing,1,2025-01-11,wis,5243.172791732204
US,ExponentialSmoothing,1,2025-01-18,dev,10071323.656197958
US,ExponentialSmoothing,1,2025-01-18,wis,1971.9899325358647
US,ExponentialSmoothing,1,2025-01-25,dev,116882836.89240456
US,ExponentialSmoothing,1,2025-01-25,wis,9747.288721400651
US,ExponentialSmoothing,1,2025-02-08,dev,417367038.4033026
US,ExponentialSmoothing,1,2025-02-08,wis,17538.78347538414
US,ExponentialSmoothing,1,2025-02-15,dev,16171554.406647857
US,ExponentialSmoothing,1,2025-02-15,wis,2369.0363435733175
US,ExponentialSmoothing,1,2025-02-22,dev,41132472.591775276
US,ExponentialSmoothing,1,2025-02-22,wis,4223.826976055884
US,ExponentialSmoothing,1,2025-03-01,dev,64947606.490680374
US,ExponentialSmoothing,1,2025-03-01,wis,5729.993289511227
US,ExponentialSmoothing,1,2025-03-08,dev,77837487.43969204
US,ExponentialSmoothing,1,2025-03-08,wis,6491.473759794271
US,ExponentialSmoothing,1,2025-03-15,dev,60439644.69476432
US,ExponentialSmoothing,1,2025-03-15,wis,5454.662680869682
US,ExponentialSmoothing,1,2025-03-22,dev,29645313.916798975
US,ExponentialSmoothing,1,2025-03-22,wis,3454.5104828331246
US,ExponentialSmoothing,1,2025-03-29,dev,14016330.38874956
US,ExponentialSmoothing,1,2025-03-29,wis,2177.5408337961544
US,ExponentialSmoothing,1,2025-04-05,dev,6278103.556557343
US,ExponentialSmoothing,1,2025-04-05,wis,1387.8040847704776
US,ExponentialSmoothing,1,2025-04-12,dev,4298528.705684902
US,ExponentialSmoothing,1,2025-04-12,wis,1158.6310398190674
US,ExponentialSmoothing,1,2025-04-19,dev,802429.8444337116
US,ExponentialSmoothing,1,2025-04-19,wis,723.256615697644
US,ExponentialSmoothing,1,2025-04-26,dev,2881.4919678694496
